,id,date_creat,date_decla,date_publi,date_disso,groupement,objet,adrs_libvoie,adrs_codepostal,adrs_libcommune,position,objet_cat,nom,annee_creat,membres,benefices,code_parent,libelle_parent
75,W032002122,2009-03-20,2017-01-20,2009-03-28,0001-01-01,S,"organiser des repas dansants, soirée à thème",mairie 12 RUE de la mairie,3140,Étroussat,A,6,LES ANNEES FOLLES D'ETROUSSAT,2009,123,5811,6,"CULTURE, PRATIQUES D'ACTIVITÉS ARTISTIQUES, PRATIQUES CULTURELLES"
76,W032003218,2016-02-26,2019-12-24,2016-03-19,0001-01-01,S,mettre à disposition de ses adhérents un ou plusieurs salariés liés au groupement par un contrat de travail,LD les Blanchons,3340,Mercy,A,14,GROUPEMENT D'EMPLOYEURS A-C-A,2016,54,21872,14,"AMICALES, GROUPEMENTS AFFINITAIRES, GROUPEMENTS D'ENTRAIDE (HORS DÉFENSE DE DROITS FONDAMENTAUX)"
77,W031000054,1957-03-27,2023-03-30,1901-07-01,0001-01-01,S,"Mise en oeuvre d'activites physiques d'éducation physique ou de plein air, sportives ou culturelles pour concourrir à la formation générale des adolescents et adolescentes de milieux non scolaires","29,   RUE de la République",3430,Cosne-d'Allier,A,11,COMITE DEPARTEMENTAL SPORT POUR TOUS,1957,54,18615,11,"SPORTS, ACTIVITÉS DE PLEIN AIR"
78,W032000826,2006-12-22,2006-12-22,2007-01-13,0001-01-01,S,Réunir les conscrits de la classe 2009 de Diou afin d'organiser un bal,14 RTE de Dompierre,3290,Diou,A,14,"CONSCRITS DE DIOU, CLASSE 2009",2006,100,24415,14,"AMICALES, GROUPEMENTS AFFINITAIRES, GROUPEMENTS D'ENTRAIDE (HORS DÉFENSE DE DROITS FONDAMENTAUX)"
79,W032003626,2018-05-14,2019-06-17,2018-05-26,0001-01-01,S,"sauvegarde, promotion culturelle et scientifique, et mise en valeur de l'Arboretum de Balaine",Lieu Dit Balaine 1 LD Balaine,3460,Villeneuve-sur-Allier,A,10,LES AMIS DE L'ARBORETUM DE BALAINE,2018,104,20673,10,PRÉSERVATION DU PATRIMOINE
80,W031002283,2011-08-08,2011-08-08,2011-09-10,0001-01-01,S,"promouvoir la réflexion philosophique à travers la lecture et le commentaire des grands textes, spécialement Platon, Aristote, Spinoza, Hegel",50 RUE Camille Desmoulins,3630,Désertines,A,2,LES AMIS DE LA PHILOSOPHIE A DESERT...,2011,19,21541,2,"CLUBS, CERCLES DE RÉFLEXION"
81,W031002577,2013-11-15,2022-11-14,2013-11-30,0001-01-01,S,"organiser, promouvoir et développer des activités physiques et sportives adaptées ; promouvoir au même titre que le sport, des actions favorisant l'accès à la culture",Pôle AVS 4 AV Aristide Briand,3100,Montluçon,A,11,ASAC,2013,137,16438,11,"SPORTS, ACTIVITÉS DE PLEIN AIR"
82,W033003839,2017-03-27,2017-03-27,2017-04-01,0001-01-01,S,"a pour but la promotion de la cornemuse du centre France en particulier, des musiques en général, des expressions, de la culture, des loisirs et de l'art ;",18 LOT des Guynames,3700,Bellerive-sur-Allier,A,6,PVB,2017,67,11906,6,"CULTURE, PRATIQUES D'ACTIVITÉS ARTISTIQUES, PRATIQUES CULTURELLES"
83,W032000736,1977-11-07,2014-01-29,1977-11-17,2013-10-10,S,Assurer la gestion de la cantine,mairie  ,3000,Bressolles,D,22,CANTINE DE BRESSOLLES,1977,117,8104,22,CONDUITE D'ACTIVITÉS ÉCONOMIQUES
84,W031006334,2019-01-30,2019-03-04,1937-02-25,2019-02-26,S,"football, basket-ball, athlétisme, natation",Mairie le bourg,3380,Treignat,D,11,UNION SPORTIVE TREIGNATOISE,2019,88,11978,11,"SPORTS, ACTIVITÉS DE PLEIN AIR"
85,W031006308,2018-12-12,2020-12-11,2018-12-22,2020-12-09,S,enseigner différents styles de danse,4 RUE du duc de Berry,3190,Vaux,D,6,AVD,2018,67,21762,6,"CULTURE, PRATIQUES D'ACTIVITÉS ARTISTIQUES, PRATIQUES CULTURELLES"
86,W032001507,1983-09-07,2017-07-12,1983-09-10,0001-01-01,S,Assurer la liaison et les echanges d'informations avec la population d'ygrande,,3160,Ygrande,A,14,ACTION POUR LA PROMOTION D'YGRANDE,1983,66,10476,14,"AMICALES, GROUPEMENTS AFFINITAIRES, GROUPEMENTS D'ENTRAIDE (HORS DÉFENSE DE DROITS FONDAMENTAUX)"
87,W031006499,1986-07-08,2022-07-16,1986-07-30,0001-01-01,S,"promouvoir la culture en milieu rural, en particulier le cinéma et les techniques de communication",Mairie AV Marx Dormoy,3190,Vallon-en-Sully,A,6,VALLON CULTURE CINÉMA,1986,175,8512,6,"CULTURE, PRATIQUES D'ACTIVITÉS ARTISTIQUES, PRATIQUES CULTURELLES"
88,W031000300,2006-07-18,2006-07-18,2006-08-12,0001-01-01,S,"permettre la réalisation des initiatives et renforcer les liens entre personnes dans les domaines culturels, fêtes, loisirs, patrimoine, environnement et solidarité.",Mairie  ,3450,Chouvigny,A,24,ENSEMBLE AU PAYS DE CHOUVIGNY,2006,102,6223,24,"ENVIRONNEMENT,  CADRE DE VIE"
89,W033001093,2001-09-17,2001-09-17,2001-09-29,0001-01-01,S,Creer un club de supporters du racing club de vichy section rugby,Chez daniel's - bar tabac pmu 2   RUE bel air,3200,Vichy,A,11,'LES PASTILLOUS'  CLUB DES SUPPOR...,2001,139,19039,11,"SPORTS, ACTIVITÉS DE PLEIN AIR"
90,W032000711,1992-06-16,2015-11-19,1901-07-01,0001-01-01,S,Rassembler les personnels,COLLEGE CHARLES PEGUY 2   RUE PAPE CARPANTIER,3000,Moulins,A,23,AMICALE PERSONNELS COLLEGE C. PEGUY,1992,79,23005,23,"REPRÉSENTATION, PROMOTION ET DÉFENSE D'INTÉRÊTS ÉCONOMIQUES"
91,W032000640,2006-09-19,2006-09-19,2008-10-07,0001-01-01,S,"Toutes formes d'aides humanitaires au Liban, notamment aides aux écoles, aux instituts, aux familles, aux enfants, aux malades, aux handicapés et aux personnes âgées.",Chez Mlle Solange COLLAS   LD Pressoir-Ban,3210,Besson,A,20,"LE ""LOUPIOT"" DU LIBAN",2006,102,5317,20,"ASSOCIATIONS CARITATIVES, HUMANITAIRES, AIDE AU DÉVELOPPEMENT, DÉVELOPPEMENT DU BÉNÉVOLAT"
92,W032007087,2022-09-17,2022-09-17,2022-09-27,0001-01-01,S,réunir une communauté de personnes qui sont issues de lunivers des jeux vidéos,Résidence Anima 2 AV du Professeur Etienne Sorrel,3000,Moulins,A,7,DELZYION'LIFE,2022,144,18616,7,"CLUBS DE LOISIRS, RELATIONS"
93,W033002362,1977-06-13,2023-02-02,1977-06-02,0001-01-01,S,Organiser des festivites dans la commune de sorbier,Mairie,3220,Sorbier,A,9,COMITE DES FETES,1977,94,2080,9,ACTION SOCIOCULTURELLE
94,W031002052,2011-02-10,2023-01-16,2011-02-26,0001-01-01,S,"l'amitié, le respect et la solidarité entre moto et trike ; réunir et organiser des manifestations de toutes natures",mairie,3170,Chamblet,A,7,CRONY BAND,2011,22,13375,7,"CLUBS DE LOISIRS, RELATIONS"
95,W032001597,1994-03-22,2011-02-01,1994-04-06,0001-01-01,S,Orientation d'animation technique et de programme de formation et d'information activites necessites par la gestion du domaine des sallards,LD les Sallards,3400,Toulon-sur-Allier,A,17,ASSOCIATION DE GESTION DU DOMAINE D...,1994,144,8495,17,SANTÉ
96,W031002667,2004-07-09,2014-08-21,2004-07-31,2014-08-16,S,apprentissage de diverses danses mondiales ; organisation de spectacles mettant en pratique l'apprentissage prodigué,21 RUE Pierre Sémard,3100,Montluçon,D,6,ASSOCIATION CULTURELLE 'MULTIDANSES',2004,172,17020,6,"CULTURE, PRATIQUES D'ACTIVITÉS ARTISTIQUES, PRATIQUES CULTURELLES"
