"id","id_ex","siret","rup_mi","gestion","date_creat","date_decla","date_publi","date_disso","groupement","objet","adrs_libvoie","adrs_codepostal","adrs_libcommune","siteweb","position","objet_cat","objet_list","nom","annee_creat","membres","benefices"
"W032003218","","","","032P","2016-02-26","2019-12-24","2016-03-19","0001-01-01","S","mettre à disposition de ses adhérents un ou plusieurs salariés liés au groupement par un contrat de travail","LD les Blanchons","03340","Mercy","","A","014","['014035', '000000']","GROUPEMENT D'EMPLOYEURS A-C-A","2016",54,21872
"W031000054","0031003765",33792994700055.0,"","031S","1957-03-27","2023-03-30","1901-07-01","0001-01-01","S","Mise en oeuvre d'activites physiques d'éducation physique ou de plein air, sportives ou culturelles pour concourrir à la formation générale des adolescents et adolescentes de milieux non scolaires","29,   RUE de la République","03430","Cosne-d'Allier","","A","011","['011000', '007000']","COMITE DEPARTEMENTAL SPORT POUR TOUS","1957",54,18615
"W032000826","","","","032P","2006-12-22","2006-12-22","2007-01-13","0001-01-01","S","Réunir les conscrits de la classe 2009 de Diou afin d'organiser un bal","14 RTE de Dompierre","03290","Diou","","A","014","['014080', '000000']","CONSCRITS DE DIOU, CLASSE 2009","2006",100,24415
"W032003626","",84013288000013.0,"","032P","2018-05-14","2019-06-17","2018-05-26","0001-01-01","S","sauvegarde, promotion culturelle et scientifique, et mise en valeur de l'Arboretum de Balaine","Lieu Dit Balaine 1 LD Balaine","03460","Villeneuve-sur-Allier","http://www.arboretum-balaine.com","A","010","['010000', '000000']","LES AMIS DE L'ARBORETUM DE BALAINE","2018",104,20673
"W031002283","","","","031S","2011-08-08","2011-08-08","2011-09-10","0001-01-01","S","promouvoir la réflexion philosophique à travers la lecture et le commentaire des grands textes, spécialement Platon, Aristote, Spinoza, Hegel","50 RUE Camille Desmoulins","03630","Désertines","","A","002","['002015', '000000']","LES AMIS DE LA PHILOSOPHIE A DESERT...","2011",19,21541
"W031002577","","","","031S","2013-11-15","2022-11-14","2013-11-30","0001-01-01","S","organiser, promouvoir et développer des activités physiques et sportives adaptées ; promouvoir au même titre que le sport, des actions favorisant l'accès à la culture","Pôle AVS 4 AV Aristide Briand","03100","Montluçon","","A","011","['011018', '006000']","ASAC","2013",137,16438
"W033003839","","","","033S","2017-03-27","2017-03-27","2017-04-01","0001-01-01","S","a pour but la promotion de la cornemuse du centre France en particulier, des musiques en général, des expressions, de la culture, des loisirs et de l'art ;","18 LOT des Guynames","03700","Bellerive-sur-Allier","","A","006","['006030', '000000']","PVB","2017",67,11906
"W032000736","0032002184","","","032P","1977-11-07","2014-01-29","1977-11-17","2013-10-10","S","Assurer la gestion de la cantine","mairie  ","03000","Bressolles","","D","022","['022510', '000000']","CANTINE DE BRESSOLLES","1977",117,8104
"W031006334","0031000438","","","031S","2019-01-30","2019-03-04","1937-02-25","2019-02-26","S","football, basket-ball, athlétisme, natation","Mairie le bourg","03380","Treignat","","D","011","['011075', '000000']","UNION SPORTIVE TREIGNATOISE","2019",88,11978
"W031006308","","","","031S","2018-12-12","2020-12-11","2018-12-22","2020-12-09","S","enseigner différents styles de danse","4 RUE du duc de Berry","03190","Vaux","","D","006","['006040', '000000']","AVD","2018",67,21762
"W032001507","0032002657","","","032P","1983-09-07","2017-07-12","1983-09-10","0001-01-01","S","Assurer la liaison et les echanges d'informations avec la population d'ygrande","","03160","Ygrande","","A","014","['014000', '000000']","ACTION POUR LA PROMOTION D'YGRANDE","1983",66,10476
"W031006499","0031002970","","","031S","1986-07-08","2022-07-16","1986-07-30","0001-01-01","S","promouvoir la culture en milieu rural, en particulier le cinéma et les techniques de communication","Mairie AV Marx Dormoy","03190","Vallon-en-Sully","","A","006","['006025', '000000']","VALLON CULTURE CINÉMA","1986",175,8512
"W031000300","","","","031S","2006-07-18","2006-07-18","2006-08-12","0001-01-01","S","permettre la réalisation des initiatives et renforcer les liens entre personnes dans les domaines culturels, fêtes, loisirs, patrimoine, environnement et solidarité.","Mairie  ","03450","Chouvigny","","A","024","['024000', '014000']","ENSEMBLE AU PAYS DE CHOUVIGNY","2006",102,6223
"W033001093","0033007191","","","033S","2001-09-17","2001-09-17","2001-09-29","0001-01-01","S","Creer un club de supporters du racing club de vichy section rugby","Chez daniel's - bar tabac pmu 2   RUE bel air","03200","Vichy","","A","011","['011080', '000000']","'LES PASTILLOUS'  CLUB DES SUPPOR...","2001",139,19039
"W032000711","0032003644","","","032P","1992-06-16","2015-11-19","1901-07-01","0001-01-01","S","Rassembler les personnels","COLLEGE CHARLES PEGUY 2   RUE PAPE CARPANTIER","03000","Moulins","","A","023","['023000', '000000']","AMICALE PERSONNELS COLLEGE C. PEGUY","1992",79,23005
"W032000640","","","","032P","2006-09-19","2006-09-19","2008-10-07","0001-01-01","S","Toutes formes d'aides humanitaires au Liban, notamment aides aux écoles, aux instituts, aux familles, aux enfants, aux malades, aux handicapés et aux personnes âgées.","Chez Mlle Solange COLLAS   LD Pressoir-Ban","03210","Besson","","A","020","['020020', '000000']","LE ""LOUPIOT"" DU LIBAN","2006",102,5317
"W032007087","","","","032P","2022-09-17","2022-09-17","2022-09-27","0001-01-01","S","réunir une communauté de personnes qui sont issues de lunivers des jeux vidéos","Résidence Anima 2 AV du Professeur Etienne Sorrel","03000","Moulins","https://delzyionlife.fr","A","007","['007000', '000000']","DELZYION'LIFE","2022",144,18616
"W031002313","","","","583P","2011-12-01","2016-09-09","2011-12-10","2016-09-09","S","production d'évènements culturels ; production et promotion musicale","5 bis RUE Creuse","58000","Nevers","","D","006","['006030', '000000']","MAGNA NEXUS","2011",96,6195
"W033002362","0033003363","","","033S","1977-06-13","2023-02-02","1977-06-02","0001-01-01","S","Organiser des festivites dans la commune de sorbier","Mairie","03220","Sorbier","","A","009","['009030', '009030']","COMITE DES FETES","1977",94,2080
"W031002052","",53200865300018.0,"","031S","2011-02-10","2023-01-16","2011-02-26","0001-01-01","S","l'amitié, le respect et la solidarité entre moto et trike ; réunir et organiser des manifestations de toutes natures","mairie","03170","Chamblet","","A","007","['007000', '000000']","CRONY BAND","2011",22,13375
"W032001597","0032003881","","","032P","1994-03-22","2011-02-01","1994-04-06","0001-01-01","S","Orientation d'animation technique et de programme de formation et d'information activites necessites par la gestion du domaine des sallards","LD les Sallards","03400","Toulon-sur-Allier","","A","017","['017075', '000000']","ASSOCIATION DE GESTION DU DOMAINE D...","1994",144,8495
"W031002667","0031005016","","","031S","2004-07-09","2014-08-21","2004-07-31","2014-08-16","S","apprentissage de diverses danses mondiales ; organisation de spectacles mettant en pratique l'apprentissage prodigué","21 RUE Pierre Sémard","03100","Montluçon","","D","006","['006000', '000000']","ASSOCIATION CULTURELLE 'MULTIDANSES'","2004",172,17020
"W033002407","0033003918","","","033S","1982-04-01","2017-05-04","1982-04-11","0001-01-01","S","Maintenir et renouveler la tradition equestre qui se perpetue dans l'agglomeration vichyssoise depuis l'annee 1887 ; encourager l'elevage et l'entrainement des chevaux de sport...","106/108 RUE Jean Jaurès","03200","Vichy","","A","011","['011050', '000000']","JOURNEES EQUESTRES DE L'AGGLOMERAT...","1982",193,23947
"W033007341","","","","033S","2020-03-25","2020-03-25","2020-05-02","0001-01-01","S","développement de jeux vidéo, sites web et applications","42 RUE Claude Labonde","03150","Varennes-sur-Allier","https://rokware.com/","A","006","['006005', '000000']","ROKWARE STUDIO","2020",70,27663
"W031002602","0031002047","","","031S","1974-06-18","2014-01-16","1974-07-09","0001-01-01","S","permettre la pratique du tennis et favoriser celle-ci en suscitant des liens d'amitié entre ses membres","1 PL de la Mairie","03450","Ébreuil","","A","011","['011165', '000000']","TENNIS CLUB D'EBREUIL","1974",98,23132
"W031002414","","","","031S","2012-08-20","2022-04-04","2012-09-01","0001-01-01","S","mettre à disposition de ses adhérents un ou plusieurs salariés liés au groupement par un contrat de travail","72 CHEM1 des Vignes","03310","Villebret","","A","030","['030015', '000000']","GROUPEMENT D'EMPLOYEURS DE VILLEBRET","2012",30,3306
"W032007102","","","","032P","2022-10-05","2022-10-05","2022-10-11","0001-01-01","S","faire partager la passion de la pêche, les savoirs et les connaissances des uns et des autres","5 B RUE des Cailles","03500","Saulcet","","A","013","['013010', '000000']","LES PECHAYOUX 03","2022",197,28411
"W033003279","","","","033S","2012-12-14","2015-12-01","2012-12-22","0001-01-01","S","organisation d'évènements et toutes autres actions pour la promotion du Géocaching","Chalet Cantonal RUE Roger Dégoulange","03250","Le    Mayet-de-Montagne","","A","050","['050000', '050000']","MEGA EVENT GEOCACHING","2012",45,28959
"W033001988","0033006260","","","033S","1995-05-16","2019-11-04","1995-05-31","0001-01-01","S","Enseignement et pratique de l'art martial vietnamien viet vo dao, technique ou style son hai.","  MAIRIE","03120","Lapalisse","","A","011","['011150', '000000']","VIET VO DAO CLUB LAPALISSE","1995",187,21527
"W033002494","","","","033S","2007-12-06","2010-09-28","2007-12-15","2010-08-25","S","remettre de la vie dans le quartier (organisation de Noël, concours de belote, voyages, sorties organisées, vente de produits divers)","14   RUE Jean Moulin","03700","Bellerive-sur-Allier","","D","030","['030012', '000000']","REVEILLONS NOTRE QUARTIER","2007",26,19744
"W033002616","","","","033S","2008-05-06","2008-05-06","2008-05-24","0001-01-01","S","sensibiliser les usagers du permis B à la conduite de motocyclette légère de type permis A1 ainsi qu'à la sécurité","110   AV de Chazeuil","03150","Varennes-sur-Allier","","A","036","['036530', '022000']","BABY BIKE CLUB 125 VARENNOIS","2008",20,15153
"W032001465","0032002408","","","032P","1980-08-20","2022-11-29","1980-08-30","0001-01-01","S","Favoriser le rapprochement entre jeunes hommes exercant des professions differentes promouvoir les plus hautes valeurs morales que civiques","BOURBON STREET 11 RUE de la Batterie","03000","Moulins","","A","020","['020000', '000000']","TABLE RONDE N° 188 MOULINS","1980",60,1966
"W032002683","","","","032P","2012-06-07","2012-06-07","2012-06-16","0001-01-01","S","création d'un pôle de santé autour d'une maison de santé pluridisciplinaire à Lurcy Levis","Maison de Pays 72 BD Gambetta","03320","Lurcy-Lévis","","A","017","['017145', '000000']","UNION POUR LA SANTE AU PAYS DE LEVIS","2012",11,17340
"W033002888","","","","033S","2009-11-17","2017-09-14","2009-11-28","0001-01-01","S","renforcer les liens d'amitié unissant les joueurs de l'Association Sportive Gannatoise (A.S.G.)","Stade Roger Muyard","03800","Gannat","","A","011","['011080', '011004']","AMICALE DES JOUEURS DE RUGBY DE L'...","2009",178,17179
"W031001387","0031000846","","","031S","1947-09-05","2014-10-02","1947-10-03","0001-01-01","S","protection de la chasse, répression du braconnage","","03380","Treignat","","A","007","['007000', '013005']","SOCIETE DE CHASSE : LA PROTECTRICE","1947",115,19343
"W032002523","0032001369","","","032P","1960-06-25","2018-07-06","1961-03-16","0001-01-01","S","collecte de sang","","03210","Souvigny","","A","017","['017065', '000000']","ASSOCIATION POUR LE DON DE SANG BEN...","1960",101,15545
"W033002169","0033006216","","","033S","1995-03-16","1995-03-16","1995-05-17","0001-01-01","S","Encourager et favoriser toutes activites associatives, sportives, culturelles, ludiques ou sociales par des interventions actives...","38 AV de Vichy","03700","Bellerive-sur-Allier","","A","006","['006100', '007000']","ACTION, PROMOTION, INFORMATION, COM...","1995",71,22925
"W031002252","0031004524","","","031S","2000-06-15","2000-06-15","2000-07-08","0001-01-01","S","promouvoir le ski nautique de haut niveau par des stages, competitions et diverses manifestations","20 RUE des Roses","03410","Saint-Victor","","A","011","['011095', '000000']","SKI FLY EXTREME","2000",151,3894
"W031002881","","","","031S","2016-03-29","2017-12-15","2016-04-09","2017-12-01","S","favoriser le développement de la solidarité et du lien social par le biais d'échanges de biens, de services et de savoir dans le respect de la charte d'adhésion","Mairie PL Jean Jaurès","03170","Doyet","","D","014","['014000', '000000']","SEL DU BASSIN MINIER","2016",151,7337
"W031001277","0031003180",50892679700012.0,"","031S","1988-05-24","2017-09-28","1901-07-01","0001-01-01","S","Organiser, développer, en prolongement de l'éducation physique et sportive donnée pendant les heures de scolarité, l'initiation et la pratique sportives pour les élèves qui y adhèrent","","03380","Huriel","","A","011","['011000', '011010']","ASSOCIATION SPORTIVE DU COLLEGE D'...","1988",18,13757
"W032000286","0032002573","","","032P","1982-10-20","2005-02-04","1982-10-29","0001-01-01","S","RADIO","CHATEAU BIGNON  ","03160","Bourbon-l'Archambault","","A","005","['005000', '000000']","ASSOC BOURBON.POUR COMMUNIC. NOUVEL..","1982",123,27158
"W032001800","0032001714","","","032P","1969-04-21","2011-02-21","1969-05-24","0001-01-01","S","Organiser des spectacles, des réunions...","mairie le bourg","03230","Paray-le-Frésil","","A","009","['009030', '009030']","COMITE DES FETES DE PARAY LE FRESIL","1969",114,27981
"W033000397","","","","033S","2006-04-27","2006-04-27","2006-05-20","0001-01-01","S","Développer et promouvoir l'art et la culture, la communication, le respect entre les jeunes et les moins jeunes de La Paz (Bolivie) et l'Auvergne (France).","6   RUE de l'Hôtel des Postes","03200","Vichy","","A","009","['009050', '000000']","LA SAYA","2006",60,20250
"W032001684","0032003666","","","032P","1992-08-27","2017-08-01","1901-07-01","0001-01-01","S","Developpement de l'accueil chez les ruraux des enfants des villes","mairie 7 RUE des écoles","03160","Saint-Aubin-le-Monial","","A","034","['034240', '000000']","LE PETIT CAMPAGNARD","1992",102,12513
"W033001000","0033007277","","","033S","2002-04-02","2005-03-13","2002-04-20","0001-01-01","S","Decouverte des sites des monts de la madeleine, du pays d'urfe, du bourbonnais, des monts fu forez, et des sites alentours mitoyens. Randonnées organisées avec encadrement.","Chez M. Gérard SACCANI   Croix Cognat","03250","Châtel-Montagne","","A","034","['034210', '000000']","4 X 4 ET QUAD VERTS","2002",193,15545
"W031002712","","","","031S","2014-12-16","2019-11-22","2014-12-27","0001-01-01","S","échanges philosophiques","25 RUE d'Alembert","03100","Montluçon","","A","002","['002015', '000000']","APE 1332","2014",101,7415
"W033007373","","","","033S","2020-08-07","2020-08-07","2020-08-22","0001-01-01","S","identifier, rechercher, recenser, restaurer, entretenir, promouvoir le patrimoine et retracer l'histoire du village ; organiser des activités culturelles","Mairie Le bourg","03220","Trézelles","","A","010","['010022', '000000']","ASSOCIATION TRÉZELLOISE DU PATRIMOINE","2020",39,12515
"W033007307","","","","033S","2020-01-09","2020-01-09","2020-01-18","0001-01-01","S","promouvoir les danses et les rencontres ; apprendre les danses entre les membres ; organiser des soirées dansantes et des festivals de danse ; organiser des cours de danse","La Vernière","03130","Loddes","","A","006","['006040', '000000']","LIFE DANCE","2020",34,20569
"W031001684","","","","031S","2010-03-02","2012-05-29","2010-03-20","2012-04-30","S","créer et réaliser des clips musicaux","4 bis RUE de la Réunion","03100","Montluçon","","D","006","['006100', '000000']","CLIP CLAP","2010",9,13027
"W033000404","","","","033S","2006-05-12","2006-05-12","2006-06-03","0001-01-01","S","Demonstration de poursuite automobile sur terre en UFOLEP - Manifestations diverses.","  Le Revers des Bois","03300","Cusset","","A","011","['011160', '000000']","TEAM 03 ""CA GLISS""","2006",191,23328
"W031002408","","","","031S","2012-07-20","2016-01-26","2012-07-28","0001-01-01","S","enseigner et encadrer la pratique de la discipline boxe thaï et disciplines assimilées","La halle des sports 1 RUE Champollion","03100","Montluçon","","A","011","['011145', '000000']","THAÏ BOXE MONTLUCONNAIS","2012",193,17779
"W032001605","0032003232","","","032P","1989-01-10","2016-05-12","1989-02-15","0001-01-01","S","Promouvoir la recherche cardiologique et perfectionnement des praticiens","","03000","Moulins","","A","017","['017000', '000000']","CARDIO 2000","1989",94,17825
"W031006689","","","","031S","2022-09-27","2022-09-27","2022-10-04","0001-01-01","S","promouvoir des musiques innovantes, alternatives et expérimentales via un lieu de diffusion ; programmer des groupes, accueillir des artistes en résidences et créer un micro-label","3 RUE du Faubourg du Pont","03190","Hérisson","","A","006","['006100', '000000']","BRUIT ROSE","2022",177,22772
